               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11378,            0.060349,            0.074646,           0.0038915,             0.13142,           0.0080082,           0.0018173,            0.094029,            0.036163,            0.069248,              0.0874,              0.0014,              0.0014
                   1,            0.089215,            0.064716,            0.064245,             0.52687,             0.22365,             0.17459,            0.070599,            0.072961,            0.046555,            0.049072,            0.073862,           0.0028617,           0.0028617
                   2,            0.071532,            0.058071,            0.050824,             0.49889,             0.28048,             0.22907,             0.10845,            0.081399,            0.047997,            0.039368,            0.060284,           0.0042838,           0.0042838
                   3,            0.066001,             0.05152,            0.044018,              0.5328,             0.35461,             0.25411,             0.10956,            0.070778,            0.027805,            0.033371,            0.046666,           0.0056664,           0.0056664
                   4,              0.0674,            0.048896,            0.039802,             0.44911,             0.48398,             0.33773,             0.11927,            0.067972,            0.023293,            0.027912,            0.033009,           0.0070093,           0.0070093
                   5,            0.068069,            0.043068,            0.035566,             0.66855,             0.53237,             0.53207,             0.20376,            0.063522,             0.01997,            0.023572,            0.019313,           0.0083126,           0.0083126
                   6,            0.067539,            0.041375,            0.030951,             0.50472,             0.60933,              0.5441,             0.19944,            0.061348,            0.020201,            0.019979,            0.009208,            0.009208,            0.009208
                   7,            0.063402,             0.03701,            0.027613,             0.46951,             0.61133,             0.58869,             0.27433,            0.058212,            0.019396,            0.016883,            0.009208,            0.009208,            0.009208
                   8,            0.057633,            0.037126,            0.023909,             0.34548,             0.81954,             0.67231,             0.33653,            0.054858,            0.020802,            0.014345,            0.009076,            0.009076,            0.009076
                   9,            0.053456,            0.033887,            0.021741,             0.54304,             0.75489,             0.74377,             0.34844,            0.052603,            0.018061,             0.01367,            0.008944,            0.008944,            0.008944
                  10,            0.049513,            0.036399,            0.018605,             0.61863,             0.87365,             0.85565,             0.47113,            0.042557,            0.016697,            0.010855,            0.008812,            0.008812,            0.008812
                  11,            0.047466,            0.031458,            0.017959,             0.73248,             0.89132,             0.91191,             0.44184,            0.037881,            0.016111,            0.010202,             0.00868,             0.00868,             0.00868
                  12,             0.04355,            0.033371,            0.016008,             0.67866,             0.89842,              0.9236,             0.49319,            0.041059,             0.01614,           0.0090265,            0.008548,            0.008548,            0.008548
                  13,            0.042109,             0.03125,            0.014233,             0.73462,              0.9794,             0.88463,             0.51892,             0.03403,            0.014925,           0.0084858,            0.008416,            0.008416,            0.008416
                  14,            0.040498,            0.032542,            0.013871,             0.83119,             0.98375,             0.97039,              0.6027,            0.028707,            0.014005,           0.0082998,            0.008284,            0.008284,            0.008284
                  15,            0.038824,            0.029501,            0.012959,               0.881,             0.95415,              0.9723,             0.61694,            0.028458,            0.013553,           0.0077963,            0.008152,            0.008152,            0.008152
                  16,            0.036959,            0.029627,            0.011594,             0.83063,              0.9828,             0.97145,             0.62575,            0.030966,            0.014124,           0.0073299,             0.00802,             0.00802,             0.00802
                  17,            0.036138,            0.027656,            0.011337,              0.9086,             0.99057,             0.98836,             0.64559,            0.029078,            0.014145,           0.0067019,            0.007888,            0.007888,            0.007888
                  18,            0.035349,            0.030538,            0.010765,             0.92773,             0.99269,             0.98821,             0.65764,            0.027492,            0.012848,           0.0065103,            0.007756,            0.007756,            0.007756
                  19,            0.033841,            0.026918,              0.0102,             0.95431,             0.94903,             0.98309,             0.66507,            0.026111,            0.012961,           0.0062621,            0.007624,            0.007624,            0.007624
                  20,            0.032774,            0.026308,           0.0095414,             0.94326,             0.97705,             0.99118,             0.61216,            0.027415,            0.012913,           0.0058401,            0.007492,            0.007492,            0.007492
                  21,            0.032514,            0.027357,           0.0083555,             0.93358,             0.98087,             0.98817,             0.72822,            0.022121,            0.012402,           0.0055904,             0.00736,             0.00736,             0.00736
                  22,            0.031073,            0.028043,            0.008719,             0.96858,             0.97796,             0.99462,             0.71383,            0.023256,            0.012471,           0.0054581,            0.007228,            0.007228,            0.007228
