               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090436,            0.048321,            0.042243,             0.31384,             0.30483,             0.10732,            0.030592,            0.063799,            0.026548,            0.031667,            0.070476,           0.0032804,           0.0032804
                   1,            0.066086,            0.035622,             0.02186,             0.56713,             0.57959,             0.42151,             0.12169,            0.061592,            0.018117,            0.012156,            0.040389,           0.0065265,           0.0065265
                   2,            0.064186,            0.029799,            0.010731,             0.77023,             0.65504,             0.66961,             0.25013,            0.049619,            0.017227,           0.0046687,            0.010214,           0.0096845,           0.0096845
                   3,            0.053333,            0.026351,           0.0066217,             0.79526,             0.72454,             0.67415,             0.24789,             0.04843,            0.016002,           0.0038141,            0.009604,            0.009604,            0.009604
                   4,            0.045791,            0.024185,           0.0051229,             0.88524,             0.72377,              0.7497,             0.32578,            0.040927,            0.014591,           0.0037202,            0.009604,            0.009604,            0.009604
                   5,            0.041925,            0.023912,           0.0040444,             0.96937,             0.78297,             0.91811,             0.43479,             0.03481,            0.013831,           0.0028934,            0.009472,            0.009472,            0.009472
                   6,            0.038819,            0.022809,           0.0036284,              0.8284,             0.76456,             0.81626,             0.37001,            0.040364,            0.018979,           0.0068229,             0.00934,             0.00934,             0.00934
                   7,            0.037453,            0.022362,           0.0033661,             0.90674,             0.86226,             0.90389,             0.50007,            0.028982,            0.013141,           0.0041235,            0.009208,            0.009208,            0.009208
                   8,            0.036498,            0.021851,           0.0028516,             0.94131,             0.84165,               0.883,             0.50872,            0.028804,            0.012228,           0.0021463,            0.009076,            0.009076,            0.009076
                   9,            0.034977,            0.021302,           0.0026997,             0.88414,             0.92904,             0.92275,             0.47119,            0.032726,            0.012903,           0.0019062,            0.008944,            0.008944,            0.008944
                  10,            0.033215,            0.021175,           0.0025017,             0.90663,             0.96517,              0.9591,              0.5856,            0.026353,            0.011781,           0.0018827,            0.008812,            0.008812,            0.008812
                  11,            0.032745,            0.020608,           0.0024172,             0.90239,             0.93468,             0.92587,             0.55208,            0.029792,            0.011963,           0.0021686,             0.00868,             0.00868,             0.00868
                  12,            0.031814,            0.020501,           0.0023269,             0.93938,             0.94556,              0.9628,             0.60462,            0.025289,            0.011174,           0.0015463,            0.008548,            0.008548,            0.008548
                  13,            0.031494,            0.020424,           0.0020452,             0.94613,             0.97565,             0.96269,             0.59489,            0.026363,            0.011584,           0.0014302,            0.008416,            0.008416,            0.008416
                  14,            0.030798,             0.02015,           0.0020623,              0.9616,             0.89486,             0.91574,             0.57165,            0.024907,            0.011352,           0.0017133,            0.008284,            0.008284,            0.008284
                  15,            0.030283,            0.019707,            0.001814,             0.93154,             0.94666,             0.95821,             0.59782,            0.026589,            0.011106,           0.0013145,            0.008152,            0.008152,            0.008152
                  16,            0.029076,            0.018975,           0.0018807,             0.93032,             0.90918,             0.94509,             0.58409,            0.027388,            0.011792,            0.001642,             0.00802,             0.00802,             0.00802
                  17,            0.028558,            0.019141,           0.0017086,             0.88527,             0.85196,             0.89339,              0.5461,            0.026989,            0.014813,           0.0021523,            0.007888,            0.007888,            0.007888
                  18,            0.028555,            0.018896,           0.0016463,             0.94852,             0.96206,              0.9689,             0.63113,              0.0236,            0.010705,           0.0010134,            0.007756,            0.007756,            0.007756
                  19,             0.02781,            0.018763,           0.0015787,             0.92948,             0.96427,             0.96442,             0.64787,            0.023393,             0.01073,           0.0011261,            0.007624,            0.007624,            0.007624
                  20,            0.028441,            0.018886,            0.001487,             0.92409,             0.93658,             0.93156,             0.63141,            0.022522,            0.010587,           0.0009568,            0.007492,            0.007492,            0.007492
                  21,            0.026592,            0.018163,           0.0014024,              0.9658,             0.92099,             0.96367,             0.63257,            0.024613,            0.011307,           0.0010264,             0.00736,             0.00736,             0.00736
                  22,            0.026595,            0.018381,           0.0013151,              0.9532,               0.919,             0.93492,             0.63098,            0.022572,            0.010382,          0.00095477,            0.007228,            0.007228,            0.007228
                  23,            0.026896,            0.018161,           0.0014575,             0.98186,              0.9623,             0.97278,             0.67126,            0.022786,            0.010293,          0.00087708,            0.007096,            0.007096,            0.007096
                  24,            0.025829,            0.018177,            0.001275,             0.96444,             0.94566,             0.96534,             0.66306,            0.022722,            0.010686,          0.00078875,            0.006964,            0.006964,            0.006964
                  25,            0.025853,            0.018008,           0.0012004,             0.96811,             0.94576,             0.96558,             0.65734,            0.022786,            0.010579,          0.00078217,            0.006832,            0.006832,            0.006832
                  26,             0.02532,            0.017919,           0.0011709,             0.95889,             0.96802,               0.976,             0.68792,            0.021307,            0.010022,          0.00077512,              0.0067,              0.0067,              0.0067
                  27,            0.024723,            0.017423,           0.0011218,             0.96669,             0.95381,             0.96746,             0.65694,            0.022507,            0.010183,          0.00091819,            0.006568,            0.006568,            0.006568
                  28,            0.025305,            0.017606,           0.0010947,                0.95,             0.99503,             0.98014,              0.6754,            0.021436,            0.010033,          0.00081229,            0.006436,            0.006436,            0.006436
                  29,            0.024619,            0.017694,           0.0011077,              0.9459,             0.97803,              0.9782,             0.65034,            0.022416,            0.010179,          0.00072146,            0.006304,            0.006304,            0.006304
                  30,            0.024098,             0.01756,           0.0010606,             0.96439,             0.98612,             0.98255,             0.69143,            0.020441,            0.009699,          0.00067363,            0.006172,            0.006172,            0.006172
                  31,            0.024079,            0.017654,           0.0010591,             0.95806,             0.96864,             0.96372,             0.63482,            0.024134,            0.010972,          0.00070552,             0.00604,             0.00604,             0.00604
                  32,            0.023885,            0.017306,           0.0011347,             0.96715,             0.96701,             0.96824,             0.66236,            0.022929,            0.010516,          0.00070193,            0.005908,            0.005908,            0.005908
                  33,            0.023557,             0.01678,          0.00099874,             0.96048,             0.98645,             0.97771,             0.67608,            0.020278,           0.0096502,          0.00059345,            0.005776,            0.005776,            0.005776
